! PC data
#!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
54416.5895417645	0.000578703703703704	-0.000578703703703704	3.110768e+01	2.495758e+00	-2.495758e+00
54416.5906991719	0.000578703703703704	-0.000578703703703704	3.352384e+01	2.624602e+00	-2.624602e+00
54416.5918565793	0.000578703703703704	-0.000578703703703704	3.163876e+01	2.546919e+00	-2.546919e+00
54416.5930139867	0.000578703703703704	-0.000578703703703704	3.779661e+01	2.775588e+00	-2.775588e+00
54416.5941713941	0.000578703703703704	-0.000578703703703704	3.835314e+01	2.795187e+00	-2.795187e+00
54416.5953288015	0.000578703703703704	-0.000578703703703704	3.403951e+01	2.637504e+00	-2.637504e+00
54416.5964862089	0.000578703703703704	-0.000578703703703704	3.549955e+01	2.687513e+00	-2.687513e+00
54416.5976436163	0.000578703703703704	-0.000578703703703704	3.532822e+01	2.688703e+00	-2.688703e+00
54416.5988010237	0.000578703703703704	-0.000578703703703704	3.713872e+01	2.754006e+00	-2.754006e+00
54416.5999584311	0.000578703703703704	-0.000578703703703704	3.733970e+01	3.950837e+00	-3.950837e+00
54416.6161621348	0.000578703703703704	-0.000578703703703704	8.613891e+00	9.654418e-01	-9.654418e-01
55205.0177470124	0.000578703703703704	-0.000578703703703704	6.147413e+01	1.908976e+01	-1.584494e+01
55205.0189044198	0.000578703703703704	-0.000578703703703704	6.398512e+01	5.445958e+00	-5.445958e+00
55240.0026995188	0.000578703703703704	-0.000578703703703704	3.363236e+01	6.338527e+00	-6.338527e+00
55240.0038569262	0.000578703703703704	-0.000578703703703704	2.784562e+01	4.378120e+00	-4.378120e+00
55242.0108013017	0.000578703703703704	-0.000578703703703704	5.299215e+01	5.197443e+00	-5.197443e+00
